-10.524	2847
-9.023	3441
-7.523	3350
-6.022	3222
-4.522	2961
-3.022	2516
-1.523	2247
-0.023	2188
1.476	2182
2.975	2178
4.474	2184
5.972	2180
7.470	2292
8.968	2567
10.466	3422
11.964	5945
13.461	12739
14.958	24931
16.455	37544
17.952	42761
19.448	43085
20.945	42041
22.441	41199
23.936	40989
25.432	40686
26.927	40740
28.422	40786
29.917	40536
31.412	40845
32.906	41949
34.400	43928
35.894	48111
37.388	51656
38.882	54485
40.375	56477
41.868	57037
43.361	57781
44.853	58089
46.346	57953
47.838	57808
49.330	57970
50.821	57809
52.313	58118
53.804	59349
55.295	60894
56.786	62641
58.276	62790
59.767	61188
61.257	60014
62.747	58966
64.236	59515
65.726	58836
67.215	58558
68.704	58792
70.193	58827
71.681	58271
73.169	57691
74.657	57686
76.145	57679
77.633	57547
79.120	57047
80.607	57525
82.094	57554
83.581	57779
85.067	57627
86.554	57850
88.040	57766
89.526	57830
91.011	58194
92.496	58390
93.982	58560
95.466	58876
96.951	58778
98.436	59042
99.920	58743
101.404	59269
102.887	59230
104.371	59219
105.854	59189
107.337	59193
108.820	59358
110.303	59055
111.785	59210
113.267	59064
114.749	58869
116.231	59105
117.713	59017
119.194	58945
120.675	59370
122.156	58658
123.636	59220
125.117	60436
126.597	60051
128.077	59851
129.556	60066
131.036	60490
132.515	60657
133.994	61038
135.473	60427
136.951	60288
138.430	60388
139.908	60315
141.386	59926
142.863	60519
144.341	59812
145.818	60324
147.295	59755
148.772	60392
150.248	60198
151.725	60246
153.201	60776
154.677	60171
156.152	60760
157.628	60126
159.103	60814
160.578	60180
162.053	60464
163.527	60585
165.001	60590
166.475	60828
167.949	60293
169.423	60328
170.896	61016
172.369	60865
173.842	60527
175.315	61280
176.788	60536
178.260	61300
179.732	60949
181.204	61486
182.675	61409
184.147	61774
185.618	61934
187.089	62292
188.559	62183
190.030	62220
191.500	62459
192.970	62485
194.440	62466
195.909	62808
197.379	62706
198.848	62708
200.317	63212
201.786	63169
203.254	63231
204.722	62891
206.190	63821
207.658	63504
209.126	63546
210.593	63911
212.060	63412
213.527	63717
214.994	63637
216.460	63962
217.926	63776
219.392	63906
220.858	63726
222.323	64083
223.789	64026
225.254	64579
226.719	64467
228.183	64217
229.648	64795
231.112	64535
232.576	63255
234.040	64423
235.503	64769
236.967	64487
238.430	64586
239.893	63872
241.355	64231
242.818	65255
244.280	65879
245.742	66329
247.204	66583
248.665	66881
250.126	67216
251.587	67139
253.048	67470
254.509	68066
255.969	68329
257.430	68575
258.889	68340
260.349	68373
261.809	68403
263.268	68438
264.727	68204
266.186	68818
267.645	68594
269.103	68390
270.561	68653
272.019	68306
273.477	68883
274.934	68540
276.392	68647
277.849	69013
279.306	69053
280.762	68901
282.219	69027
283.675	69066
285.131	69703
286.586	69595
288.042	69913
289.497	69752
290.952	69607
292.407	69922
293.862	70474
295.316	70457
296.770	70391
298.224	70585
299.678	70873
301.132	71534
302.585	71449
304.038	71427
305.491	71506
306.943	71642
308.396	72577
309.848	72183
311.300	72301
312.752	72241
314.203	72876
315.655	72526
317.106	73098
318.557	73383
320.007	73201
321.458	73507
322.908	73055
324.358	73615
325.807	73311
327.257	74157
328.706	73799
330.155	73718
331.604	74321
333.053	73782
334.501	74417
335.950	74381
337.397	74782
338.845	74723
340.293	75146
341.740	75022
343.187	74954
344.634	74418
346.081	74770
347.527	74519
348.973	74828
350.419	75103
351.865	74947
353.311	74866
354.756	75025
356.201	75295
357.646	75618
359.091	75821
360.535	75851
361.979	76306
363.423	76630
364.867	76835
366.311	77243
367.754	77582
369.197	78053
370.640	77757
372.083	78356
373.525	78677
374.967	78689
376.409	78791
377.851	78107
379.293	78328
380.734	78775
382.175	78495
383.616	77819
385.057	78311
386.497	77440
387.938	77114
389.378	77381
390.818	77113
392.257	76787
393.697	76376
395.136	76486
396.575	76636
398.013	76497
399.452	76631
400.890	76613
402.328	76786
403.766	76869
405.204	76881
406.641	76898
408.078	76929
409.515	77122
410.952	76938
412.388	77306
413.825	77132
415.261	77091
416.697	77127
418.132	77477
419.568	77298
421.003	77376
422.438	77868
423.873	78286
425.307	78332
426.742	78243
428.176	78339
429.610	78777
431.043	78672
432.477	78716
433.910	78315
435.343	78755
436.776	79213
438.208	79874
439.641	80066
441.073	80343
442.505	80326
443.937	80788
445.368	80794
446.799	81583
448.230	81860
449.661	82441
451.092	82910
452.522	83767
453.952	84485
455.382	84744
456.812	85269
458.242	86559
459.671	88375
461.100	90280
462.529	92321
463.958	94762
465.386	98037
466.814	99743
468.242	99972
469.670	98322
471.097	95897
472.525	93317
473.952	90051
475.379	87915
476.806	85965
478.232	84652
479.658	84413
481.084	83246
482.510	83283
483.936	83144
485.361	82792
486.786	82656
488.211	82193
489.636	82521
491.060	82662
492.485	82161
493.909	82477
495.333	82166
496.756	82099
498.180	81867
499.603	81439
501.026	81351
502.449	81296
503.871	82026
505.294	82430
506.716	83295
508.138	83254
509.559	83421
510.981	83790
512.402	84194
513.823	84430
515.244	84741
516.664	84799
518.085	84875
519.505	85304
520.925	84993
522.345	85059
523.764	85288
525.183	84546
526.603	85011
528.021	85374
529.440	84832
530.858	84670
532.277	85586
533.695	85216
535.112	85318
536.530	85065
537.947	85201
539.365	85346
540.781	85440
542.198	85476
543.615	85413
545.031	85799
546.447	85624
547.863	85115
549.278	85403
550.694	85595
552.109	85663
553.524	85671
554.939	85887
556.353	85173
557.768	85872
559.182	86274
560.596	85765
562.009	86324
563.423	85769
564.836	85858
566.249	86240
567.662	86079
