Number Atom1 Atom2 Type Polymeric Cyclicity Length SybylType
115 Cu1 S1 Unknown yes cyclic 2.3064 un
116 Cu1 S1 Unknown yes cyclic 2.3064 un
117 Cu2 Cu21 Unknown no cyclic 1.108 un
118 Cu2 S1 Unknown no cyclic 2.217 1
119 Cu2 Cu21 Unknown no cyclic 1.108 un
120 Cu2 Cu21 Unknown no cyclic 2.691 un
121 Cu2 Cu21 Unknown no cyclic 2.691 un
122 Cu2 Cu21 Unknown no cyclic 2.691 un
123 Cu21 S1 Unknown no cyclic 2.504(4) 1
124 Cu21 Cu21 Unknown no cyclic 2.215(6) un
125 Cu21 Cu2 Unknown no cyclic 2.691 un
126 Cu21 Cu21 Unknown no cyclic 1.937(6) un
127 Cu21 As1 Unknown yes cyclic 2.382(4) un
128 Cu1 S1 Unknown yes cyclic 2.3064 un
129 Cu1 S1 Unknown yes cyclic 2.3064 un
130 Cu1 S1 Unknown yes cyclic 2.3064 un
131 Cu2 Cu21 Unknown no cyclic 1.108 un
132 Cu2 S1 Unknown no cyclic 2.217 1
133 Cu2 Cu21 Unknown no cyclic 2.691 un
134 Cu2 Cu21 Unknown no cyclic 2.691 un
135 Cu2 Cu21 Unknown no cyclic 1.108 un
136 Cu2 Cu21 Unknown no cyclic 2.691 un
137 Cu2 Cu21 Unknown no cyclic 2.691 un
138 Cu21 S1 Unknown no cyclic 2.504(4) 1
139 Cu21 Cu21 Unknown no cyclic 1.937(6) un
140 Cu21 Cu21 Unknown no cyclic 2.215(6) un
141 Cu21 Cu2 Unknown no cyclic 2.691 un
142 Cu21 Cu21 Unknown no cyclic 1.937(6) un
143 Cu21 As1 Unknown yes cyclic 2.382(4) un
144 S1 As1 Unknown no cyclic 2.246(1) 1
145 S1 Cu1 Unknown no cyclic 2.3064 1
146 S1 Cu21 Unknown no cyclic 2.504(4) 1
147 S1 Cu1 Unknown yes acyclic 2.3064 1
148 As1 S1 Unknown no cyclic 2.246(1) 1
149 As1 S1 Unknown no cyclic 2.246(1) 1
150 As1 Cu21 Unknown yes cyclic 2.382(4) un
151 As1 Cu21 Unknown yes cyclic 2.382(4) un
152 As1 Cu21 Unknown yes cyclic 2.382(4) un
153 S1 Cu21 Unknown no cyclic 2.504(4) 1
154 S1 Cu1 Unknown yes cyclic 2.3064 1
155 S1 Cu1 Unknown yes acyclic 2.3064 1
156 S1 Cu2 Unknown no cyclic 2.217 1
157 S1 Cu21 Unknown no cyclic 2.504(4) 1
158 S1 Cu21 Unknown no cyclic 2.504(4) 1
159 S1 Cu1 Unknown yes acyclic 2.3064 1
160 S1 Cu1 Unknown yes acyclic 2.3064 1
161 Cu1 S1 Unknown yes cyclic 2.3064 un
162 Cu1 S1 Unknown yes cyclic 2.3064 un
163 Cu1 S1 Unknown yes cyclic 2.3064 un
164 Cu21 Cu2 Unknown no cyclic 2.691 un
165 Cu21 Cu21 Unknown no cyclic 1.937(6) un
166 Cu21 As1 Unknown yes cyclic 2.382(4) un
167 Cu1 S1 Unknown yes cyclic 2.3064 un
168 Cu1 S1 Unknown yes cyclic 2.3064 un
169 Cu1 S1 Unknown yes cyclic 2.3064 un
170 Cu21 Cu21 Unknown no cyclic 1.937(6) un
171 Cu21 Cu2 Unknown no cyclic 2.691 un
172 Cu21 Cu21 Unknown no cyclic 1.937(6) un
173 Cu21 As1 Unknown yes cyclic 2.382(4) un
174 Cu21 Cu2 Unknown no cyclic 2.691 un
175 Cu21 Cu21 Unknown no cyclic 1.937(6) un
176 Cu21 As1 Unknown yes cyclic 2.382(4) un
177 Cu2 Cu21 Unknown no cyclic 1.108 un
178 Cu2 Cu21 Unknown no cyclic 1.108 un
179 Cu21 Cu21 Unknown no cyclic 2.215(6) un
180 Cu21 As1 Unknown yes cyclic 2.382(4) un
181 Cu2 Cu21 Unknown no cyclic 1.108 un
182 Cu2 Cu21 Unknown no cyclic 1.108 un
183 Cu21 Cu21 Unknown no cyclic 2.215(6) un
184 Cu21 As1 Unknown yes cyclic 2.382(4) un
185 Cu21 As1 Unknown yes cyclic 2.382(4) un
186 Cu21 As1 Unknown yes cyclic 2.382(4) un
187 Cu21 Cu21 Unknown yes cyclic 1.937(6) un
188 Cu21 Cu21 Unknown yes cyclic 1.937(6) un
189 Cu21 Cu21 Unknown yes cyclic 1.937(6) un
190 Cu21 Cu21 Unknown yes cyclic 1.937(6) un
191 Cu21 Cu21 Unknown yes cyclic 1.937(6) un
192 Cu21 Cu21 Unknown yes cyclic 1.937(6) un
193 Cu21 Cu21 Unknown yes cyclic 1.937(6) un
194 Cu21 Cu21 Unknown yes cyclic 1.937(6) un
195 Cu21 S1 Unknown yes cyclic 2.504(4) un
196 Cu21 Cu21 Unknown yes cyclic 1.937(6) un
197 Cu21 Cu21 Unknown yes cyclic 1.937(6) un
198 Cu21 Cu21 Unknown yes cyclic 1.937(6) un
199 Cu21 Cu21 Unknown yes cyclic 1.937(6) un
200 Cu21 S1 Unknown yes cyclic 2.504(4) un
201 Cu21 S1 Unknown yes cyclic 2.504(4) un
202 Cu21 S1 Unknown yes cyclic 2.504(4) un
203 Cu21 S1 Unknown yes cyclic 2.504(4) un
204 Cu21 S1 Unknown yes cyclic 2.504(4) un
205 S1 Cu1 Unknown yes cyclic 2.3064 un
206 S1 Cu1 Unknown yes cyclic 2.3064 un
207 S1 Cu1 Unknown yes cyclic 2.3064 un
208 S1 Cu1 Unknown yes cyclic 2.3064 un
209 S1 Cu1 Unknown yes cyclic 2.3064 un
210 S1 Cu1 Unknown yes cyclic 2.3064 un
211 S1 As1 Unknown yes cyclic 2.246(1) un
212 S1 Cu1 Unknown yes cyclic 2.3064 un
213 S1 As1 Unknown yes cyclic 2.246(1) un
214 S1 Cu1 Unknown yes cyclic 2.3064 un
215 S1 As1 Unknown yes cyclic 2.246(1) un
216 S1 As1 Unknown yes cyclic 2.246(1) un
217 S1 Cu1 Unknown yes cyclic 2.3064 un
218 S1 As1 Unknown yes cyclic 2.246(1) un
219 S1 Cu1 Unknown yes cyclic 2.3064 un
