Number Atom1 Atom2 Atom3 Angle
82 Cu2 S1 Cu21 26.3
83 Cu2 S1 As1 113.25
84 Cu2 S1 Cu1 115.90
85 Cu2 S1 Cu21 26.3
86 Cu2 S1 Cu1 115.90
87 Cu21 S1 As1 110.0(1)
88 Cu21 S1 Cu1 137.9
89 Cu21 S1 Cu21 52.5(1)
90 Cu21 S1 Cu1 93.1
91 As1 S1 Cu1 104.08
92 As1 S1 Cu21 110.0(1)
93 As1 S1 Cu1 104.08
94 Cu1 S1 Cu21 93.1
95 Cu1 S1 Cu1 102.06
96 Cu21 S1 Cu1 137.9
97 Cu2 S2 Cu21 27.2
98 Cu2 S2 Cu2 90.0
99 Cu2 S2 Cu21 71.1
100 Cu2 S2 Cu21 27.2
101 Cu2 S2 Cu2 90.0
102 Cu2 S2 Cu21 71.1
103 Cu2 S2 Cu2 180.0
104 Cu2 S2 Cu21 152.8
105 Cu2 S2 Cu21 108.9
106 Cu2 S2 Cu21 108.9
107 Cu2 S2 Cu21 152.8
108 Cu2 S2 Cu2 90.0
109 Cu2 S2 Cu21 108.9
110 Cu2 S2 Cu2 90.0
111 Cu2 S2 Cu21 71.1
112 Cu2 S2 Cu21 71.1
113 Cu2 S2 Cu21 108.9
114 Cu21 S2 Cu2 108.9
115 Cu21 S2 Cu21 96.0
116 Cu21 S2 Cu21 54.5
117 Cu21 S2 Cu2 71.1
118 Cu21 S2 Cu21 47.2
119 Cu21 S2 Cu2 152.8
120 Cu21 S2 Cu21 142.3
121 Cu21 S2 Cu21 118.1
122 Cu21 S2 Cu21 96.0
123 Cu21 S2 Cu21 142.3
124 Cu21 S2 Cu2 108.9
125 Cu21 S2 Cu21 118.1
126 Cu21 S2 Cu2 71.1
127 Cu21 S2 Cu21 47.2
128 Cu21 S2 Cu21 96.0
129 Cu21 S2 Cu21 96.0
130 Cu2 S2 Cu21 27.2
131 Cu2 S2 Cu21 71.1
132 Cu2 S2 Cu2 180.0
133 Cu2 S2 Cu21 152.8
134 Cu2 S2 Cu2 90.0
135 Cu2 S2 Cu21 71.1
136 Cu2 S2 Cu21 27.2
137 Cu2 S2 Cu21 152.8
138 Cu2 S2 Cu21 108.9
139 Cu2 S2 Cu2 90.0
140 Cu2 S2 Cu21 108.9
141 Cu2 S2 Cu2 90.0
142 Cu2 S2 Cu21 108.9
143 Cu2 S2 Cu21 71.1
144 Cu2 S2 Cu21 71.1
145 Cu21 S2 Cu21 47.2
146 Cu21 S2 Cu2 152.8
147 Cu21 S2 Cu21 142.3
148 Cu21 S2 Cu2 108.9
149 Cu21 S2 Cu21 96.0
150 Cu21 S2 Cu21 54.5
151 Cu21 S2 Cu21 142.3
152 Cu21 S2 Cu21 118.1
153 Cu21 S2 Cu2 71.1
154 Cu21 S2 Cu21 96.0
155 Cu21 S2 Cu2 108.9
156 Cu21 S2 Cu21 118.1
157 Cu21 S2 Cu21 47.2
158 Cu21 S2 Cu21 96.0
159 Cu21 S2 Cu2 108.9
160 Cu21 S2 Cu21 96.0
161 Cu21 S2 Cu2 152.8
162 Cu21 S2 Cu21 142.3
163 Cu21 S2 Cu21 96.0
164 Cu21 S2 Cu21 118.1
165 Cu21 S2 Cu21 142.3
166 Cu21 S2 Cu2 71.1
167 Cu21 S2 Cu21 96.0
168 Cu21 S2 Cu2 108.9
169 Cu21 S2 Cu21 96.0
170 Cu21 S2 Cu21 47.2
171 Cu21 S2 Cu21 118.1
172 Cu2 S2 Cu21 27.2
173 Cu2 S2 Cu2 90.0
174 Cu2 S2 Cu21 108.9
175 Cu2 S2 Cu21 152.8
176 Cu2 S2 Cu21 27.2
177 Cu2 S2 Cu21 71.1
178 Cu2 S2 Cu2 90.0
179 Cu2 S2 Cu21 71.1
180 Cu2 S2 Cu2 90.0
181 Cu2 S2 Cu21 71.1
182 Cu2 S2 Cu21 108.9
183 Cu2 S2 Cu21 108.9
184 Cu21 S2 Cu2 108.9
185 Cu21 S2 Cu21 118.1
186 Cu21 S2 Cu21 142.3
187 Cu21 S2 Cu21 54.5
188 Cu21 S2 Cu21 96.0
189 Cu21 S2 Cu2 108.9
190 Cu21 S2 Cu21 96.0
191 Cu21 S2 Cu2 71.1
192 Cu21 S2 Cu21 47.2
193 Cu21 S2 Cu21 118.1
194 Cu21 S2 Cu21 96.0
195 Cu2 S2 Cu21 27.2
196 Cu2 S2 Cu21 71.1
197 Cu2 S2 Cu21 71.1
198 Cu2 S2 Cu21 27.2
199 Cu2 S2 Cu2 90.0
200 Cu2 S2 Cu21 71.1
201 Cu2 S2 Cu2 90.0
202 Cu2 S2 Cu21 108.9
203 Cu2 S2 Cu21 108.9
204 Cu2 S2 Cu21 71.1
205 Cu21 S2 Cu21 47.2
206 Cu21 S2 Cu21 96.0
207 Cu21 S2 Cu21 54.5
208 Cu21 S2 Cu2 108.9
209 Cu21 S2 Cu21 96.0
210 Cu21 S2 Cu2 71.1
211 Cu21 S2 Cu21 96.0
212 Cu21 S2 Cu21 118.1
213 Cu21 S2 Cu21 47.2
214 Cu21 S2 Cu21 142.3
215 Cu21 S2 Cu21 96.0
216 Cu21 S2 Cu2 108.9
217 Cu21 S2 Cu21 118.1
218 Cu21 S2 Cu2 71.1
219 Cu21 S2 Cu21 96.0
220 Cu21 S2 Cu21 96.0
221 Cu21 S2 Cu21 47.2
222 Cu21 S2 Cu21 47.2
223 Cu21 S2 Cu2 71.1
224 Cu21 S2 Cu21 47.2
225 Cu21 S2 Cu2 108.9
226 Cu21 S2 Cu21 96.0
227 Cu21 S2 Cu21 96.0
228 Cu21 S2 Cu21 118.1
229 Cu21 S2 Cu2 71.1
230 Cu21 S2 Cu21 47.2
231 Cu21 S2 Cu2 108.9
232 Cu21 S2 Cu21 118.1
233 Cu21 S2 Cu21 96.0
234 Cu21 S2 Cu21 96.0
235 Cu2 S2 Cu21 27.2
236 Cu2 S2 Cu2 180.0
237 Cu2 S2 Cu21 152.8
238 Cu2 S2 Cu21 27.2
239 Cu2 S2 Cu21 152.8
240 Cu21 S2 Cu2 152.8
241 Cu21 S2 Cu21 142.3
242 Cu21 S2 Cu21 54.5
243 Cu21 S2 Cu21 142.3
244 Cu2 S2 Cu21 27.2
245 Cu2 S2 Cu21 152.8
246 Cu2 S2 Cu21 27.2
247 Cu21 S2 Cu21 142.3
248 Cu21 S2 Cu21 54.5
249 Cu21 S2 Cu21 142.3
250 S1 As1 S1 99.62(4)
251 S1 As1 S1 99.62(4)
252 S1 As1 Cu21 102.1(1)
253 S1 As1 Cu21 146.1(1)
254 S1 As1 Cu21 102.1(1)
255 S1 As1 S1 99.62(4)
256 S1 As1 Cu21 146.1(1)
257 S1 As1 Cu21 102.1(1)
258 S1 As1 Cu21 102.1(1)
259 S1 As1 Cu21 102.1(1)
260 S1 As1 Cu21 102.1(1)
261 S1 As1 Cu21 146.1(1)
262 Cu21 As1 Cu21 48.0(1)
263 Cu21 As1 Cu21 48.0(1)
264 Cu21 As1 Cu21 48.0(1)
265 As1 S1 Cu2 113.25
266 As1 S1 Cu21 110.0(1)
267 As1 S1 Cu21 110.0(1)
268 As1 S1 Cu1 104.08
269 As1 S1 Cu1 104.08
270 Cu2 S1 Cu21 26.3
271 Cu2 S1 Cu21 26.3
272 Cu2 S1 Cu1 115.90
273 Cu2 S1 Cu1 115.90
274 Cu21 S1 Cu21 52.5(1)
275 Cu21 S1 Cu1 93.1
276 Cu21 S1 Cu1 137.9
277 Cu21 S1 Cu1 137.9
278 Cu21 S1 Cu1 93.1
279 Cu1 S1 Cu1 102.06
280 As1 S1 Cu2 113.25
281 As1 S1 Cu21 110.0(1)
282 As1 S1 Cu21 110.0(1)
283 As1 S1 Cu1 104.08
284 As1 S1 Cu1 104.08
285 Cu2 S1 Cu21 26.3
286 Cu2 S1 Cu21 26.3
287 Cu2 S1 Cu1 115.90
288 Cu2 S1 Cu1 115.90
289 Cu21 S1 Cu21 52.5(1)
290 Cu21 S1 Cu1 137.9
291 Cu21 S1 Cu1 93.1
292 Cu21 S1 Cu1 93.1
293 Cu21 S1 Cu1 137.9
294 Cu1 S1 Cu1 102.06
295 S1 Cu1 S1 109.13
296 S1 Cu1 S1 109.64
297 S1 Cu1 S1 109.64
298 S1 Cu1 S1 109.64
299 S1 Cu1 S1 109.64
300 S1 Cu1 S1 109.13
301 S2 Cu2 S1 130.1
302 S2 Cu2 Cu21 87.7
303 S2 Cu2 S1 130.1
304 S2 Cu2 Cu21 58.3
305 S2 Cu2 Cu21 58.3
306 S2 Cu2 Cu21 87.7
307 S2 Cu2 Cu21 58.3
308 S2 Cu2 Cu21 58.3
309 S1 Cu2 Cu21 91.5
310 S1 Cu2 S1 99.8
311 S1 Cu2 Cu21 93.6
312 S1 Cu2 Cu21 127.8
313 S1 Cu2 Cu21 91.5
314 S1 Cu2 Cu21 127.8
315 S1 Cu2 Cu21 93.6
316 Cu21 Cu2 S1 91.5
317 Cu21 Cu2 Cu21 37.7
318 Cu21 Cu2 Cu21 138.6
319 Cu21 Cu2 Cu21 175.5
320 Cu21 Cu2 Cu21 37.7
321 Cu21 Cu2 Cu21 138.6
322 S1 Cu2 Cu21 127.8
323 S1 Cu2 Cu21 93.6
324 S1 Cu2 Cu21 91.5
325 S1 Cu2 Cu21 93.6
326 S1 Cu2 Cu21 127.8
327 Cu21 Cu2 Cu21 116.7
328 Cu21 Cu2 Cu21 138.6
329 Cu21 Cu2 Cu21 42.2
330 Cu21 Cu2 Cu21 100.9
331 Cu21 Cu2 Cu21 37.7
332 Cu21 Cu2 Cu21 100.9
333 Cu21 Cu2 Cu21 42.2
334 Cu21 Cu2 Cu21 138.6
335 Cu21 Cu2 Cu21 37.7
336 Cu21 Cu2 Cu21 116.7
337 Cu2 Cu21 S2 50.5
338 Cu2 Cu21 S1 98.8
339 Cu2 Cu21 Cu2 101.4
340 Cu2 Cu21 S1 159.1
341 Cu2 Cu21 Cu21 20.5
342 Cu2 Cu21 Cu21 99.5
343 Cu2 Cu21 Cu2 70.5
344 Cu2 Cu21 Cu21 68.9
345 Cu2 Cu21 As1 86.4
346 S2 Cu21 S1 108.7
347 S2 Cu21 Cu2 65.0
348 S2 Cu21 S1 108.7
349 S2 Cu21 Cu21 66.4
350 S2 Cu21 Cu21 62.8
351 S2 Cu21 Cu2 50.5
352 S2 Cu21 Cu21 66.4
353 S2 Cu21 As1 124.5
354 S1 Cu21 Cu2 62.3
355 S1 Cu21 S1 85.2(1)
356 S1 Cu21 Cu21 107.4(2)
357 S1 Cu21 Cu21 63.7(1)
358 S1 Cu21 Cu2 159.1
359 S1 Cu21 Cu21 167.3(2)
360 S1 Cu21 As1 111.4(2)
361 Cu2 Cu21 S1 62.3
362 Cu2 Cu21 Cu21 121.8
363 Cu2 Cu21 Cu21 2.3
364 Cu2 Cu21 Cu2 101.4
365 Cu2 Cu21 Cu21 121.8
366 Cu2 Cu21 As1 170.5
367 S1 Cu21 Cu21 167.3(2)
368 S1 Cu21 Cu21 63.7(1)
369 S1 Cu21 Cu2 98.8
370 S1 Cu21 Cu21 107.4(2)
371 S1 Cu21 As1 111.4(2)
372 Cu21 Cu21 Cu21 120.0(3)
373 Cu21 Cu21 Cu2 68.9
374 Cu21 Cu21 Cu21 60.0(2)
375 Cu21 Cu21 As1 66.0(2)
376 Cu21 Cu21 Cu2 99.5
377 Cu21 Cu21 Cu21 120.0(3)
378 Cu21 Cu21 As1 172.7(2)
379 Cu2 Cu21 Cu21 20.5
380 Cu2 Cu21 As1 86.4
381 Cu21 Cu21 As1 66.0(2)
382 Cu2 S1 Cu21 26.3
383 Cu2 S1 As1 113.25
384 Cu2 S1 Cu1 115.90
385 Cu2 S1 Cu21 26.3
386 Cu2 S1 Cu1 115.90
387 Cu21 S1 As1 110.0(1)
388 Cu21 S1 Cu1 137.9
389 Cu21 S1 Cu21 52.5(1)
390 Cu21 S1 Cu1 93.1
391 As1 S1 Cu1 104.08
392 As1 S1 Cu21 110.0(1)
393 As1 S1 Cu1 104.08
394 Cu1 S1 Cu21 93.1
395 Cu1 S1 Cu1 102.06
396 Cu21 S1 Cu1 137.9
397 S1 As1 S1 99.62(4)
398 S1 As1 S1 99.62(4)
399 S1 As1 Cu21 102.1(1)
400 S1 As1 Cu21 146.1(1)
401 S1 As1 Cu21 102.1(1)
402 S1 As1 S1 99.62(4)
403 S1 As1 Cu21 146.1(1)
404 S1 As1 Cu21 102.1(1)
405 S1 As1 Cu21 102.1(1)
406 S1 As1 Cu21 102.1(1)
407 S1 As1 Cu21 102.1(1)
408 S1 As1 Cu21 146.1(1)
409 Cu21 As1 Cu21 48.0(1)
410 Cu21 As1 Cu21 48.0(1)
411 Cu21 As1 Cu21 48.0(1)
412 As1 S1 Cu2 113.25
413 As1 S1 Cu21 110.0(1)
414 As1 S1 Cu21 110.0(1)
415 As1 S1 Cu1 104.08
416 As1 S1 Cu1 104.08
417 Cu2 S1 Cu21 26.3
418 Cu2 S1 Cu21 26.3
419 Cu2 S1 Cu1 115.90
420 Cu2 S1 Cu1 115.90
421 Cu21 S1 Cu21 52.5(1)
422 Cu21 S1 Cu1 93.1
423 Cu21 S1 Cu1 137.9
424 Cu21 S1 Cu1 137.9
425 Cu21 S1 Cu1 93.1
426 Cu1 S1 Cu1 102.06
427 As1 S1 Cu2 113.25
428 As1 S1 Cu21 110.0(1)
429 As1 S1 Cu21 110.0(1)
430 As1 S1 Cu1 104.08
431 As1 S1 Cu1 104.08
432 Cu2 S1 Cu21 26.3
433 Cu2 S1 Cu21 26.3
434 Cu2 S1 Cu1 115.90
435 Cu2 S1 Cu1 115.90
436 Cu21 S1 Cu21 52.5(1)
437 Cu21 S1 Cu1 137.9
438 Cu21 S1 Cu1 93.1
439 Cu21 S1 Cu1 93.1
440 Cu21 S1 Cu1 137.9
441 Cu1 S1 Cu1 102.06
442 S1 Cu1 S1 109.13
443 S1 Cu1 S1 109.64
444 S1 Cu1 S1 109.64
445 S1 Cu1 S1 109.64
446 S1 Cu1 S1 109.64
447 S1 Cu1 S1 109.13
448 Cu2 Cu21 Cu21 2.3
449 Cu2 Cu21 S1 62.3
450 Cu2 Cu21 S2 65.0
451 Cu2 Cu21 Cu2 101.4
452 Cu2 Cu21 Cu21 121.8
453 Cu2 Cu21 S1 62.3
454 Cu2 Cu21 Cu2 101.4
455 Cu2 Cu21 Cu21 121.8
456 Cu2 Cu21 As1 170.5
457 Cu21 Cu21 S1 63.7(1)
458 Cu21 Cu21 S2 62.8
459 Cu21 Cu21 Cu2 99.5
460 Cu21 Cu21 Cu21 120.0(3)
461 Cu21 Cu21 S1 63.7(1)
462 Cu21 Cu21 Cu2 99.5
463 Cu21 Cu21 Cu21 120.0(3)
464 Cu21 Cu21 As1 172.7(2)
465 S1 Cu21 S2 108.7
466 S1 Cu21 Cu2 98.8
467 S1 Cu21 Cu21 107.4(2)
468 S1 Cu21 S1 85.2(1)
469 S1 Cu21 Cu2 159.1
470 S1 Cu21 Cu21 167.3(2)
471 S1 Cu21 As1 111.4(2)
472 S2 Cu21 Cu2 50.5
473 S2 Cu21 Cu21 66.4
474 S2 Cu21 S1 108.7
475 S2 Cu21 Cu2 50.5
476 S2 Cu21 Cu21 66.4
477 S2 Cu21 As1 124.5
478 Cu2 Cu21 Cu21 20.5
479 Cu2 Cu21 S1 159.1
480 Cu2 Cu21 Cu2 70.5
481 Cu2 Cu21 Cu21 68.9
482 Cu2 Cu21 As1 86.4
483 Cu21 Cu21 S1 167.3(2)
484 Cu21 Cu21 Cu2 68.9
485 Cu21 Cu21 Cu21 60.0(2)
486 Cu21 Cu21 As1 66.0(2)
487 S1 Cu21 Cu2 98.8
488 S1 Cu21 Cu21 107.4(2)
489 S1 Cu21 As1 111.4(2)
490 Cu2 Cu21 Cu21 20.5
491 Cu2 Cu21 As1 86.4
492 Cu21 Cu21 As1 66.0(2)
493 Cu2 S1 Cu21 26.3
494 Cu2 S1 Cu21 26.3
495 Cu2 S1 As1 113.25
496 Cu2 S1 Cu1 115.90
497 Cu2 S1 Cu1 115.90
498 Cu21 S1 Cu21 52.5(1)
499 Cu21 S1 As1 110.0(1)
500 Cu21 S1 Cu1 93.1
501 Cu21 S1 Cu1 137.9
502 Cu21 S1 As1 110.0(1)
503 Cu21 S1 Cu1 137.9
504 Cu21 S1 Cu1 93.1
505 As1 S1 Cu1 104.08
506 As1 S1 Cu1 104.08
507 Cu1 S1 Cu1 102.06
508 S1 As1 S1 99.62(4)
509 S1 As1 S1 99.62(4)
510 S1 As1 Cu21 146.1(1)
511 S1 As1 Cu21 102.1(1)
512 S1 As1 Cu21 102.1(1)
513 S1 As1 S1 99.62(4)
514 S1 As1 Cu21 102.1(1)
515 S1 As1 Cu21 146.1(1)
516 S1 As1 Cu21 102.1(1)
517 S1 As1 Cu21 102.1(1)
518 S1 As1 Cu21 102.1(1)
519 S1 As1 Cu21 146.1(1)
520 Cu21 As1 Cu21 48.0(1)
521 Cu21 As1 Cu21 48.0(1)
522 Cu21 As1 Cu21 48.0(1)
523 As1 S1 Cu2 113.25
524 As1 S1 Cu21 110.0(1)
525 As1 S1 Cu1 104.08
526 As1 S1 Cu21 110.0(1)
527 As1 S1 Cu1 104.08
528 Cu2 S1 Cu21 26.3
529 Cu2 S1 Cu1 115.90
530 Cu2 S1 Cu21 26.3
531 Cu2 S1 Cu1 115.90
532 Cu21 S1 Cu1 137.9
533 Cu21 S1 Cu21 52.5(1)
534 Cu21 S1 Cu1 93.1
535 Cu1 S1 Cu21 93.1
536 Cu1 S1 Cu1 102.06
537 Cu21 S1 Cu1 137.9
538 As1 S1 Cu2 113.25
539 As1 S1 Cu21 110.0(1)
540 As1 S1 Cu21 110.0(1)
541 As1 S1 Cu1 104.08
542 As1 S1 Cu1 104.08
543 Cu2 S1 Cu21 26.3
544 Cu2 S1 Cu21 26.3
545 Cu2 S1 Cu1 115.90
546 Cu2 S1 Cu1 115.90
547 Cu21 S1 Cu21 52.5(1)
548 Cu21 S1 Cu1 93.1
549 Cu21 S1 Cu1 137.9
550 Cu21 S1 Cu1 137.9
551 Cu21 S1 Cu1 93.1
552 Cu1 S1 Cu1 102.06
553 S1 Cu1 S1 109.13
554 S1 Cu1 S1 109.64
555 S1 Cu1 S1 109.64
556 S1 Cu1 S1 109.64
557 S1 Cu1 S1 109.64
558 S1 Cu1 S1 109.13
559 Cu21 Cu2 S2 58.3
560 Cu21 Cu2 S1 93.6
561 Cu21 Cu2 Cu21 37.7
562 Cu21 Cu2 S1 127.8
563 Cu21 Cu2 Cu21 138.6
564 Cu21 Cu2 Cu21 116.7
565 Cu21 Cu2 Cu21 100.9
566 Cu21 Cu2 Cu21 42.2
567 S2 Cu2 S1 130.1
568 S2 Cu2 Cu21 87.7
569 S2 Cu2 S1 130.1
570 S2 Cu2 Cu21 87.7
571 S2 Cu2 Cu21 58.3
572 S2 Cu2 Cu21 58.3
573 S2 Cu2 Cu21 58.3
574 S1 Cu2 Cu21 91.5
575 S1 Cu2 S1 99.8
576 S1 Cu2 Cu21 91.5
577 S1 Cu2 Cu21 127.8
578 S1 Cu2 Cu21 93.6
579 S1 Cu2 Cu21 127.8
580 Cu21 Cu2 S1 91.5
581 Cu21 Cu2 Cu21 175.5
582 Cu21 Cu2 Cu21 138.6
583 Cu21 Cu2 Cu21 138.6
584 Cu21 Cu2 Cu21 37.7
585 S1 Cu2 Cu21 91.5
586 S1 Cu2 Cu21 93.6
587 S1 Cu2 Cu21 127.8
588 S1 Cu2 Cu21 93.6
589 Cu21 Cu2 Cu21 37.7
590 Cu21 Cu2 Cu21 37.7
591 Cu21 Cu2 Cu21 138.6
592 Cu21 Cu2 Cu21 42.2
593 Cu21 Cu2 Cu21 100.9
594 Cu21 Cu2 Cu21 116.7
595 Cu2 Cu21 Cu21 20.5
596 Cu2 Cu21 S2 50.5
597 Cu2 Cu21 S1 98.8
598 Cu2 Cu21 Cu2 101.4
599 Cu2 Cu21 S1 159.1
600 Cu2 Cu21 Cu21 99.5
601 Cu2 Cu21 Cu2 70.5
602 Cu2 Cu21 Cu21 68.9
603 Cu2 Cu21 As1 86.4
604 Cu21 Cu21 S2 66.4
605 Cu21 Cu21 S1 107.4(2)
606 Cu21 Cu21 Cu2 121.8
607 Cu21 Cu21 S1 167.3(2)
608 Cu21 Cu21 Cu21 120.0(3)
609 Cu21 Cu21 Cu2 68.9
610 Cu21 Cu21 Cu21 60.0(2)
611 Cu21 Cu21 As1 66.0(2)
612 S2 Cu21 S1 108.7
613 S2 Cu21 Cu2 65.0
614 S2 Cu21 S1 108.7
615 S2 Cu21 Cu21 62.8
616 S2 Cu21 Cu2 50.5
617 S2 Cu21 Cu21 66.4
618 S2 Cu21 As1 124.5
619 S1 Cu21 Cu2 62.3
620 S1 Cu21 S1 85.2(1)
621 S1 Cu21 Cu21 63.7(1)
622 S1 Cu21 Cu2 159.1
623 S1 Cu21 Cu21 167.3(2)
624 S1 Cu21 As1 111.4(2)
625 Cu2 Cu21 S1 62.3
626 Cu2 Cu21 Cu21 2.3
627 Cu2 Cu21 Cu2 101.4
628 Cu2 Cu21 Cu21 121.8
629 Cu2 Cu21 As1 170.5
630 S1 Cu21 Cu21 63.7(1)
631 S1 Cu21 Cu2 98.8
632 S1 Cu21 Cu21 107.4(2)
633 S1 Cu21 As1 111.4(2)
634 Cu21 Cu21 Cu2 99.5
635 Cu21 Cu21 Cu21 120.0(3)
636 Cu21 Cu21 As1 172.7(2)
637 Cu2 Cu21 Cu21 20.5
638 Cu2 Cu21 As1 86.4
639 Cu21 Cu21 As1 66.0(2)
640 S1 Cu1 S1 109.13
641 S1 Cu1 S1 109.64
642 S1 Cu1 S1 109.64
643 S1 Cu1 S1 109.64
644 S1 Cu1 S1 109.64
645 S1 Cu1 S1 109.13
646 S2 Cu2 S1 130.1
647 S2 Cu2 Cu21 87.7
648 S2 Cu2 S1 130.1
649 S2 Cu2 Cu21 58.3
650 S2 Cu2 Cu21 58.3
651 S2 Cu2 Cu21 87.7
652 S2 Cu2 Cu21 58.3
653 S2 Cu2 Cu21 58.3
654 S1 Cu2 Cu21 91.5
655 S1 Cu2 S1 99.8
656 S1 Cu2 Cu21 93.6
657 S1 Cu2 Cu21 127.8
658 S1 Cu2 Cu21 91.5
659 S1 Cu2 Cu21 93.6
660 S1 Cu2 Cu21 127.8
661 Cu21 Cu2 S1 91.5
662 Cu21 Cu2 Cu21 37.7
663 Cu21 Cu2 Cu21 138.6
664 Cu21 Cu2 Cu21 175.5
665 Cu21 Cu2 Cu21 138.6
666 Cu21 Cu2 Cu21 37.7
667 S1 Cu2 Cu21 127.8
668 S1 Cu2 Cu21 93.6
669 S1 Cu2 Cu21 91.5
670 S1 Cu2 Cu21 127.8
671 S1 Cu2 Cu21 93.6
672 Cu21 Cu2 Cu21 116.7
673 Cu21 Cu2 Cu21 138.6
674 Cu21 Cu2 Cu21 100.9
675 Cu21 Cu2 Cu21 42.2
676 Cu21 Cu2 Cu21 37.7
677 Cu21 Cu2 Cu21 42.2
678 Cu21 Cu2 Cu21 100.9
679 Cu21 Cu2 Cu21 37.7
680 Cu21 Cu2 Cu21 138.6
681 Cu21 Cu2 Cu21 116.7
682 S2 Cu21 Cu2 50.5
683 S2 Cu21 S1 108.7
684 S2 Cu21 Cu2 65.0
685 S2 Cu21 S1 108.7
686 S2 Cu21 Cu21 66.4
687 S2 Cu21 Cu21 62.8
688 S2 Cu21 Cu2 50.5
689 S2 Cu21 Cu21 66.4
690 S2 Cu21 As1 124.5
691 Cu2 Cu21 S1 98.8
692 Cu2 Cu21 Cu2 101.4
693 Cu2 Cu21 S1 159.1
694 Cu2 Cu21 Cu21 20.5
695 Cu2 Cu21 Cu21 99.5
696 Cu2 Cu21 Cu2 70.5
697 Cu2 Cu21 Cu21 68.9
698 Cu2 Cu21 As1 86.4
699 S1 Cu21 Cu2 62.3
700 S1 Cu21 S1 85.2(1)
701 S1 Cu21 Cu21 107.4(2)
702 S1 Cu21 Cu21 63.7(1)
703 S1 Cu21 Cu2 159.1
704 S1 Cu21 Cu21 167.3(2)
705 S1 Cu21 As1 111.4(2)
706 Cu2 Cu21 S1 62.3
707 Cu2 Cu21 Cu21 121.8
708 Cu2 Cu21 Cu21 2.3
709 Cu2 Cu21 Cu2 101.4
710 Cu2 Cu21 Cu21 121.8
711 Cu2 Cu21 As1 170.5
712 S1 Cu21 Cu21 167.3(2)
713 S1 Cu21 Cu21 63.7(1)
714 S1 Cu21 Cu2 98.8
715 S1 Cu21 Cu21 107.4(2)
