Number Atom1 Atom2 Atom3 Angle
1 Cu21 Cu2 S1 91.5
2 Cu21 Cu2 S2 87.7
3 Cu21 Cu2 Cu21 138.6
4 Cu21 Cu2 Cu21 175.5
5 Cu21 Cu2 S1 91.5
6 Cu21 Cu2 Cu21 37.7
7 Cu21 Cu2 Cu21 37.7
8 Cu21 Cu2 Cu21 138.6
9 S1 Cu2 S2 130.1
10 S1 Cu2 Cu21 93.6
11 S1 Cu2 Cu21 91.5
12 S1 Cu2 S1 99.8
13 S1 Cu2 Cu21 127.8
14 S1 Cu2 Cu21 93.6
15 S1 Cu2 Cu21 127.8
16 S2 Cu2 Cu21 58.3
17 S2 Cu2 Cu21 87.7
18 S2 Cu2 S1 130.1
19 S2 Cu2 Cu21 58.3
20 S2 Cu2 Cu21 58.3
21 S2 Cu2 Cu21 58.3
22 Cu21 Cu2 Cu21 37.7
23 Cu21 Cu2 S1 127.8
24 Cu21 Cu2 Cu21 116.7
25 Cu21 Cu2 Cu21 100.9
26 Cu21 Cu2 Cu21 42.2
27 Cu21 Cu2 S1 91.5
28 Cu21 Cu2 Cu21 138.6
29 Cu21 Cu2 Cu21 138.6
30 Cu21 Cu2 Cu21 37.7
31 S1 Cu2 Cu21 93.6
32 S1 Cu2 Cu21 127.8
33 S1 Cu2 Cu21 93.6
34 Cu21 Cu2 Cu21 42.2
35 Cu21 Cu2 Cu21 100.9
36 Cu21 Cu2 Cu21 116.7
37 Cu2 Cu21 S1 62.3
38 Cu2 Cu21 S2 65.0
39 Cu2 Cu21 Cu21 2.3
40 Cu2 Cu21 S1 62.3
41 Cu2 Cu21 Cu2 101.4
42 Cu2 Cu21 Cu21 121.8
43 Cu2 Cu21 Cu2 101.4
44 Cu2 Cu21 Cu21 121.8
45 Cu2 Cu21 As1 170.5
46 S1 Cu21 S2 108.7
47 S1 Cu21 Cu21 63.7(1)
48 S1 Cu21 S1 85.2(1)
49 S1 Cu21 Cu2 159.1
50 S1 Cu21 Cu21 167.3(2)
51 S1 Cu21 Cu2 98.8
52 S1 Cu21 Cu21 107.4(2)
53 S1 Cu21 As1 111.4(2)
54 S2 Cu21 Cu21 62.8
55 S2 Cu21 S1 108.7
56 S2 Cu21 Cu2 50.5
57 S2 Cu21 Cu21 66.4
58 S2 Cu21 Cu2 50.5
59 S2 Cu21 Cu21 66.4
60 S2 Cu21 As1 124.5
61 Cu21 Cu21 S1 63.7(1)
62 Cu21 Cu21 Cu2 99.5
63 Cu21 Cu21 Cu21 120.0(3)
64 Cu21 Cu21 Cu2 99.5
65 Cu21 Cu21 Cu21 120.0(3)
66 Cu21 Cu21 As1 172.7(2)
67 S1 Cu21 Cu2 98.8
68 S1 Cu21 Cu21 107.4(2)
69 S1 Cu21 Cu2 159.1
70 S1 Cu21 Cu21 167.3(2)
71 S1 Cu21 As1 111.4(2)
72 Cu2 Cu21 Cu21 20.5
73 Cu2 Cu21 Cu2 70.5
74 Cu2 Cu21 Cu21 68.9
75 Cu2 Cu21 As1 86.4
76 Cu21 Cu21 Cu2 68.9
77 Cu21 Cu21 Cu21 60.0(2)
78 Cu21 Cu21 As1 66.0(2)
79 Cu2 Cu21 Cu21 20.5
80 Cu2 Cu21 As1 86.4
81 Cu21 Cu21 As1 66.0(2)
