Number Atom1 Atom2 Type Polymeric Cyclicity Length SybylType
78 As1 Cu21 Unknown yes cyclic 2.457(5) un
79 S1 Cu2 Unknown no cyclic 2.216 1
80 S1 Cu21 Unknown no cyclic 2.459(5) 1
81 S1 Cu21 Unknown no cyclic 2.459(5) 1
82 S1 Cu1 Unknown yes cyclic 2.3113 1
83 S1 Cu1 Unknown yes cyclic 2.3113 1
84 S1 Cu2 Unknown no cyclic 2.216 1
85 S1 Cu21 Unknown no cyclic 2.459(5) 1
86 S1 Cu21 Unknown no cyclic 2.459(5) 1
87 S1 Cu1 Unknown yes acyclic 2.3113 1
88 S1 Cu1 Unknown yes acyclic 2.3113 1
89 Cu1 S1 Unknown yes cyclic 2.3113 un
90 Cu1 S1 Unknown yes cyclic 2.3113 un
91 Cu1 S1 Unknown yes cyclic 2.3113 un
92 Cu21 S1 Unknown no cyclic 2.459(5) 1
93 Cu21 Cu2 Unknown no cyclic 2.738 un
94 Cu21 Cu21 Unknown no cyclic 2.060(7) un
95 Cu21 As1 Unknown yes cyclic 2.457(5) un
96 S1 As1 Unknown no cyclic 2.2435(8) 1
97 S1 Cu1 Unknown no cyclic 2.3113 1
98 S1 Cu1 Unknown yes cyclic 2.3113 1
99 As1 S1 Unknown no cyclic 2.2435(8) 1
100 As1 S1 Unknown no cyclic 2.2435(8) 1
101 As1 Cu21 Unknown yes cyclic 2.457(5) un
102 As1 Cu21 Unknown yes cyclic 2.457(5) un
103 As1 Cu21 Unknown yes cyclic 2.457(5) un
104 S1 Cu2 Unknown no cyclic 2.216 1
105 S1 Cu21 Unknown no cyclic 2.459(5) 1
106 S1 Cu1 Unknown no cyclic 2.3113 1
107 S1 Cu21 Unknown no cyclic 2.459(5) 1
108 S1 Cu1 Unknown yes cyclic 2.3113 1
109 S1 Cu2 Unknown no cyclic 2.216 1
110 S1 Cu21 Unknown no cyclic 2.459(5) 1
111 S1 Cu21 Unknown no cyclic 2.459(5) 1
112 S1 Cu1 Unknown yes cyclic 2.3113 1
113 S1 Cu1 Unknown yes acyclic 2.3113 1
114 Cu1 S1 Unknown yes cyclic 2.3113 un
115 Cu1 S1 Unknown yes cyclic 2.3113 un
